timestamp,avg_high_price,avg_low_price,high_price_volume,low_price_volume
2024-07-26 06:05:00,221.0,219,185911,72078
2024-07-26 06:10:00,223.0,223,30905,13801
2024-07-26 06:15:00,224.0,223,59563,33308
2024-07-26 06:20:00,224.0,221,357260,30754
2024-07-26 06:25:00,224.0,221,220786,39356
2024-07-26 06:30:00,224.0,221,316628,33165
2024-07-26 06:35:00,224.0,220,227273,138192
2024-07-26 06:40:00,224.0,220,482658,16006
2024-07-26 06:45:00,223.0,220,216333,142389
2024-07-26 06:50:00,224.0,220,331663,50890
2024-07-26 06:55:00,224.0,220,115162,34557
2024-07-26 07:00:00,223.0,220,150505,68172
2024-07-26 07:05:00,224.0,220,264164,164611
2024-07-26 07:10:00,223.0,221,125009,11432
2024-07-26 07:15:00,223.0,221,83809,99038
2024-07-26 07:20:00,224.0,220,62385,59730
2024-07-26 07:25:00,223.0,219,186274,169353
2024-07-26 07:30:00,224.0,220,46050,74693
2024-07-26 07:35:00,223.0,220,120741,34672
2024-07-26 07:40:00,224.0,219,52483,43275
2024-07-26 07:45:00,224.0,219,63345,77625
2024-07-26 07:50:00,224.0,219,34053,30256
2024-07-26 07:55:00,224.0,221,35656,57799
2024-07-26 08:00:00,223.0,220,33033,16720
2024-07-26 08:05:00,224.0,219,85050,434489
2024-07-26 08:10:00,221.0,220,124991,82374
2024-07-26 08:15:00,224.0,221,82637,17917
2024-07-26 08:20:00,224.0,219,29812,63949
2024-07-26 08:25:00,224.0,220,59581,32319
2024-07-26 08:30:00,223.0,219,21194,291038
2024-07-26 08:35:00,224.0,219,170445,27364
2024-07-26 08:40:00,224.0,221,124545,9119
2024-07-26 08:45:00,224.0,221,22298,11123
2024-07-26 08:50:00,223.0,220,131168,290433
2024-07-26 08:55:00,223.0,219,156199,94298
2024-07-26 09:00:00,223.0,219,85575,9507
2024-07-26 09:05:00,224.0,222,267990,25289
2024-07-26 09:10:00,224.0,219,14411,251700
2024-07-26 09:15:00,222.0,219,17005,15084
2024-07-26 09:20:00,221.0,219,108333,21534
2024-07-26 09:25:00,222.0,219,134403,204167
2024-07-26 09:30:00,224.0,219,15602,8831
2024-07-26 09:35:00,222.0,220,88014,51881
2024-07-26 09:40:00,223.0,219,50561,14619
2024-07-26 09:45:00,224.0,220,49134,12731
2024-07-26 09:50:00,225.0,223,52494,19313
2024-07-26 09:55:00,223.0,220,38033,152880
2024-07-26 10:00:00,223.0,219,52765,23326
2024-07-26 10:05:00,224.0,219,137215,24861
2024-07-26 10:10:00,224.0,219,69615,4693
2024-07-26 10:15:00,224.0,221,95122,26366
2024-07-26 10:20:00,224.0,221,97425,47258
2024-07-26 10:25:00,225.0,224,74111,19026
2024-07-26 10:30:00,223.0,223,39162,33847
2024-07-26 10:35:00,224.0,220,48796,14789
2024-07-26 10:40:00,224.0,221,51774,105921
2024-07-26 10:45:00,224.0,222,55729,54963
2024-07-26 10:50:00,223.0,220,7420,25698
2024-07-26 10:55:00,224.0,220,46190,275331
2024-07-26 11:00:00,224.0,222,20318,53550
2024-07-26 11:05:00,223.0,217,139993,659240
2024-07-26 11:10:00,223.0,220,23190,5691
2024-07-26 11:15:00,224.0,220,44176,35926
2024-07-26 11:20:00,224.0,220,40613,78676
2024-07-26 11:25:00,224.0,220,157042,81494
2024-07-26 11:30:00,224.0,220,38196,94626
2024-07-26 11:35:00,224.0,221,61532,16146
2024-07-26 11:40:00,224.0,220,62914,25649
2024-07-26 11:45:00,225.0,221,65920,36218
2024-07-26 11:50:00,221.0,223,140836,15751
2024-07-26 11:55:00,224.0,220,25068,72976
2024-07-26 12:00:00,223.0,220,64279,28750
2024-07-26 12:05:00,225.0,220,101235,79256
2024-07-26 12:10:00,224.0,222,58882,47720
2024-07-26 12:15:00,223.0,222,102813,21331
2024-07-26 12:20:00,224.0,220,83714,44191
2024-07-26 12:25:00,225.0,220,112204,13675
2024-07-26 12:30:00,224.0,220,71082,50490
2024-07-26 12:35:00,225.0,224,56848,14203
2024-07-26 12:40:00,225.0,224,58553,11957
2024-07-26 12:45:00,225.0,220,83278,95816
2024-07-26 12:50:00,224.0,221,23973,41531
2024-07-26 12:55:00,225.0,222,103342,12861
2024-07-26 13:00:00,224.0,220,28374,78460
2024-07-26 13:05:00,223.0,219,83321,127838
2024-07-26 13:10:00,224.0,221,47242,20363
2024-07-26 13:15:00,224.0,224,26056,50132
2024-07-26 13:20:00,224.0,224,28478,35766
2024-07-26 13:25:00,224.0,223,1546,13114
2024-07-26 13:30:00,224.0,223,631,24435
2024-07-26 13:35:00,224.0,223,28281,14929
2024-07-26 13:40:00,224.0,222,95404,32754
2024-07-26 13:45:00,224.0,221,54866,74509
2024-07-26 13:50:00,225.0,224,25922,24616
2024-07-26 13:55:00,225.0,224,55713,13443
2024-07-26 14:00:00,224.0,221,89523,48501
2024-07-26 14:05:00,224.0,223,34229,14774
2024-07-26 14:10:00,225.0,223,27027,28222
2024-07-26 14:15:00,224.0,222,6379,19916
2024-07-26 14:20:00,222.0,221,37462,44562
2024-07-26 14:25:00,221.0,221,219387,39623
2024-07-26 14:30:00,221.0,220,194765,464082
2024-07-26 14:35:00,221.0,220,250502,66681
2024-07-26 14:40:00,224.0,220,27926,44568
2024-07-26 14:45:00,224.0,220,43847,27364
2024-07-26 14:50:00,225.0,220,89432,56802
2024-07-26 14:55:00,223.0,220,17789,67706
2024-07-26 15:00:00,223.0,220,182995,43614
2024-07-26 15:05:00,222.0,220,182444,58184
2024-07-26 15:10:00,224.0,220,54440,76878
2024-07-26 15:15:00,221.0,220,118389,8976
2024-07-26 15:20:00,223.0,220,90003,15753
2024-07-26 15:25:00,224.0,220,136551,46093
2024-07-26 15:30:00,224.0,220,91696,100311
2024-07-26 15:35:00,224.0,220,25473,127547
2024-07-26 15:40:00,224.0,220,173573,52559
2024-07-26 15:45:00,224.0,220,160454,52517
2024-07-26 15:50:00,224.0,220,82230,39532
2024-07-26 15:55:00,223.0,220,194937,46445
2024-07-26 16:00:00,224.0,220,98673,53101
2024-07-26 16:05:00,224.0,220,190167,41967
2024-07-26 16:10:00,225.0,222,77167,36643
2024-07-26 16:15:00,224.0,221,129332,33122
2024-07-26 16:20:00,224.0,221,142660,65135
2024-07-26 16:25:00,223.0,221,240337,5068
2024-07-26 16:30:00,224.0,221,228309,56646
2024-07-26 16:35:00,224.0,222,143044,45394
2024-07-26 16:40:00,224.0,220,116481,223626
2024-07-26 16:45:00,223.0,220,40185,62599
2024-07-26 16:50:00,223.0,222,132547,24443
2024-07-26 16:55:00,225.0,223,105917,58859
2024-07-26 17:00:00,224.0,223,71451,39589
2024-07-26 17:05:00,224.0,221,190858,120441
2024-07-26 17:10:00,225.0,223,132233,12630
2024-07-26 17:15:00,225.0,222,151009,66563
2024-07-26 17:20:00,224.0,221,124432,26781
2024-07-26 17:25:00,224.0,222,143054,53353
2024-07-26 17:30:00,223.0,221,198961,69220
2024-07-26 17:35:00,223.0,223,70220,55111
2024-07-26 17:40:00,224.0,222,136196,97967
2024-07-26 17:45:00,224.0,222,165709,38570
2024-07-26 17:50:00,225.0,223,72714,38117
2024-07-26 17:55:00,226.0,223,81089,177596
2024-07-26 18:00:00,224.0,223,94027,87632
2024-07-26 18:05:00,225.0,223,78499,48614
2024-07-26 18:10:00,226.0,223,46799,34293
2024-07-26 18:15:00,227.0,221,45133,61837
2024-07-26 18:20:00,226.0,224,101383,19316
2024-07-26 18:25:00,225.0,223,62818,115219
2024-07-26 18:30:00,225.0,221,121911,84369
2024-07-26 18:35:00,227.0,222,59410,95147
2024-07-26 18:40:00,225.0,223,58078,97864
2024-07-26 18:45:00,225.0,223,12585,75144
2024-07-26 18:50:00,227.0,224,94524,66796
2024-07-26 18:55:00,227.0,225,23761,34385
2024-07-26 19:00:00,227.0,225,20579,45959
2024-07-26 19:05:00,229.0,225,43153,86634
2024-07-26 19:10:00,226.0,225,32277,70667
2024-07-26 19:15:00,227.0,223,80822,18252
2024-07-26 19:20:00,226.0,223,125948,432111
2024-07-26 19:25:00,224.0,223,87576,133047
2024-07-26 19:30:00,226.0,221,153879,40808
2024-07-26 19:35:00,227.0,223,189648,64625
2024-07-26 19:40:00,224.0,222,50799,65133
2024-07-26 19:45:00,227.0,223,43200,64920
2024-07-26 19:50:00,226.0,223,111218,88292
2024-07-26 19:55:00,230.0,225,67394,60779
2024-07-26 20:00:00,230.0,226,32294,40380
2024-07-26 20:05:00,226.0,225,34977,49253
2024-07-26 20:10:00,230.0,226,74797,104618
2024-07-26 20:15:00,230.0,226,133927,50343
2024-07-26 20:20:00,230.0,226,76118,99422
2024-07-26 20:25:00,228.0,225,164268,140731
2024-07-26 20:30:00,230.0,224,82240,190136
2024-07-26 20:35:00,231.0,226,24998,92298
2024-07-26 20:40:00,229.0,225,46179,226826
2024-07-26 20:45:00,229.0,225,129032,52796
2024-07-26 20:50:00,229.0,224,242650,262794
2024-07-26 20:55:00,230.0,226,195903,41092
2024-07-26 21:00:00,229.0,225,139215,98393
2024-07-26 21:05:00,228.0,224,386259,184335
